match_id,team_id,team_name,home_away,score,winner,advance,group_name,points,opponent_score,fouls_committed,yellow_cards,red_cards,offsides,won_corners,saves,possession_pct,total_shots,shots_on_target,shot_pct,penalty_kick_goals,penalty_kick_shots,accurate_passes,total_passes,pass_pct,accurate_crosses,total_crosses,cross_pct,total_long_balls,accurate_long_balls,longball_pct,blocked_shots,effective_tackles,total_tackles,tackle_pct,interceptions,effective_clearance,total_clearance
732147,2869,Morocco,home,1,False,False,Group A,4,1.0,15,1,0,2,6,0,61.8,15,4,0.3,1,1,398,468,0.9,6,21,0.3,40,17,0.4,4,11,16,0.7,11,9,9
732147,2849,Mali,away,1,False,False,Group A,2,1.0,22,8,0,2,0,4,38.2,5,1,0.2,1,1,221,299,0.7,1,1,1.0,46,18,0.4,3,19,28,0.7,13,37,37
732149,2844,Benin,home,1,True,True,Group D,3,0.0,19,2,0,2,1,1,51.7,10,4,0.4,0,0,432,508,0.9,4,11,0.4,60,33,0.6,0,6,8,0.8,10,22,22
732149,4245,Botswana,away,0,False,False,Group D,0,1.0,20,2,0,1,1,3,48.3,5,1,0.2,0,0,383,465,0.8,4,19,0.2,39,8,0.2,1,10,13,0.8,6,23,23
732152,654,Senegal,home,1,False,False,Group D,4,1.0,18,1,0,2,5,2,64.1,11,3,0.3,0,0,439,506,0.9,2,21,0.1,47,29,0.6,2,10,14,0.7,7,14,14
732152,2850,Congo DR,away,1,False,False,Group D,4,1.0,12,0,0,1,2,2,35.9,7,3,0.4,0,0,218,281,0.8,4,13,0.3,52,15,0.3,1,10,17,0.6,8,34,34
732151,4211,Uganda,home,1,False,False,Group C,1,1.0,16,3,0,2,7,1,55.0,14,6,0.4,0,1,347,421,0.8,4,20,0.2,55,21,0.4,2,11,20,0.6,11,13,13
732151,5778,Tanzania,away,1,False,False,Group C,1,1.0,16,2,0,4,3,5,45.0,11,2,0.2,1,1,275,347,0.8,4,15,0.3,57,27,0.5,3,10,22,0.5,11,27,27
732150,657,Nigeria,home,3,True,True,Group C,6,2.0,18,3,0,1,4,0,59.6,15,5,0.3,0,0,390,441,0.9,11,27,0.4,46,21,0.5,3,14,17,0.8,8,23,23
732150,659,Tunisia,away,2,False,False,Group C,3,3.0,15,0,0,1,6,2,40.4,8,2,0.3,1,1,234,298,0.8,6,19,0.3,44,22,0.5,1,5,6,0.8,5,20,20
732156,4231,Gabon,home,2,False,False,Group F,0,3.0,11,2,0,0,4,2,56.5,16,10,0.6,0,0,342,417,0.8,7,33,0.2,45,22,0.5,2,8,16,0.5,12,16,16
732156,8939,Mozambique,away,3,True,True,Group F,3,2.0,9,2,0,1,4,8,43.5,13,5,0.4,1,1,253,333,0.8,4,12,0.3,52,19,0.4,2,10,16,0.6,11,27,27
732154,8938,Equatorial Guinea,home,0,False,False,Group E,0,1.0,14,3,0,4,3,1,65.7,15,3,0.2,0,0,382,458,0.8,1,14,0.1,56,27,0.5,4,7,13,0.5,3,23,23
732154,4319,Sudan,away,1,True,True,Group E,3,0.0,10,3,0,2,3,3,34.3,13,2,0.2,0,0,153,224,0.7,1,18,0.1,61,17,0.3,4,11,16,0.7,12,23,23
732153,624,Algeria,home,1,True,True,Group E,6,0.0,24,2,0,1,2,2,49.3,10,5,0.5,1,1,321,385,0.8,1,8,0.1,49,22,0.4,2,10,15,0.7,12,25,25
732153,2845,Burkina Faso,away,0,False,False,Group E,3,1.0,19,3,0,0,6,4,50.7,14,2,0.1,0,0,321,385,0.8,5,21,0.2,36,14,0.4,4,11,19,0.6,7,7,7
732155,4789,Ivory Coast,home,1,False,False,Group F,4,1.0,18,2,0,0,7,2,50.7,13,2,0.2,0,0,281,339,0.8,7,22,0.3,42,18,0.4,5,3,7,0.4,4,30,30
732155,656,Cameroon,away,1,False,False,Group F,4,1.0,15,2,0,0,3,1,49.3,12,2,0.2,0,0,277,338,0.8,3,15,0.2,39,14,0.4,3,6,12,0.5,8,22,22
732157,653,Angola,home,0,False,False,Group B,2,0.0,15,1,0,0,4,2,44.2,16,4,0.3,0,0,244,321,0.8,4,27,0.1,44,19,0.4,2,10,20,0.5,10,31,31
732157,2620,Egypt,away,0,False,False,Group B,7,0.0,11,2,0,2,2,5,55.8,5,2,0.4,0,0,324,427,0.8,1,16,0.1,68,30,0.4,0,7,17,0.4,10,26,26
732159,4214,Zimbabwe,home,2,False,False,Group B,1,3.0,14,1,0,5,3,6,34.0,10,3,0.3,0,0,165,242,0.7,2,12,0.2,47,17,0.4,2,8,16,0.5,16,17,17
732159,467,South Africa,away,3,True,True,Group B,6,2.0,11,1,0,1,3,2,66.0,16,9,0.6,1,1,404,487,0.8,2,10,0.2,59,33,0.6,2,5,13,0.4,8,34,34
732158,8601,Comoros,home,0,False,False,Group A,2,0.0,22,3,0,3,5,2,32.0,5,1,0.2,0,0,226,305,0.7,1,9,0.1,62,22,0.4,1,7,10,0.7,10,24,24
732158,2849,Mali,away,0,False,False,Group A,3,0.0,8,1,1,2,2,1,68.0,13,2,0.2,0,0,572,653,0.9,3,12,0.3,49,28,0.6,3,15,18,0.8,12,15,15
732160,4277,Zambia,home,0,False,False,Group A,2,3.0,23,4,1,2,1,6,43.1,5,0,0.0,0,0,296,352,0.8,1,7,0.1,47,21,0.4,1,8,19,0.4,10,29,29
732160,2869,Morocco,away,3,True,True,Group A,7,0.0,12,1,0,4,5,0,56.9,19,9,0.5,0,0,417,465,0.9,3,12,0.3,36,22,0.6,3,14,15,0.9,7,14,14
732163,5778,Tanzania,home,1,False,False,Group C,2,1.0,9,3,0,1,2,1,36.0,6,2,0.3,0,0,206,290,0.7,2,6,0.3,62,22,0.4,0,12,20,0.6,9,25,25
732163,659,Tunisia,away,1,False,False,Group C,4,1.0,14,1,0,0,2,1,64.0,6,2,0.3,1,1,427,511,0.8,5,15,0.3,41,19,0.5,1,7,18,0.4,5,16,16
732164,4211,Uganda,home,1,False,False,Group C,1,3.0,6,1,1,2,2,3,28.1,9,1,0.1,0,0,160,220,0.7,3,10,0.3,46,18,0.4,1,7,10,0.7,4,22,22
732164,657,Nigeria,away,3,True,True,Group C,9,1.0,14,2,0,3,3,0,71.9,13,6,0.5,0,0,528,576,0.9,4,19,0.2,63,45,0.7,2,7,9,0.8,5,17,17
732161,2844,Benin,home,0,False,False,Group D,3,3.0,20,4,0,0,4,3,48.9,7,4,0.6,0,0,328,398,0.8,1,13,0.1,52,20,0.4,0,9,14,0.6,12,19,19
732161,654,Senegal,away,3,True,True,Group D,7,0.0,19,1,1,0,4,4,51.1,10,6,0.6,1,1,351,414,0.8,4,13,0.3,42,20,0.5,0,9,14,0.6,10,24,24
732162,4245,Botswana,home,0,False,False,Group D,0,3.0,6,0,0,4,0,3,44.8,6,1,0.2,0,0,389,450,0.9,1,9,0.1,63,36,0.6,1,5,10,0.5,11,32,32
732162,2850,Congo DR,away,3,True,True,Group D,7,0.0,16,0,0,2,3,1,55.2,28,6,0.2,1,1,482,534,0.9,6,31,0.2,26,19,0.7,3,4,10,0.4,8,12,12
732165,8938,Equatorial Guinea,home,1,False,False,Group E,0,3.0,13,4,0,1,4,3,45.1,10,3,0.3,0,0,377,433,0.9,1,10,0.1,26,15,0.6,2,9,12,0.8,9,10,10
732165,624,Algeria,away,3,True,True,Group E,9,1.0,15,1,0,0,5,2,54.9,16,6,0.4,0,0,484,532,0.9,6,9,0.7,25,13,0.5,5,9,18,0.5,15,18,18
732166,4319,Sudan,home,0,False,False,Group E,3,2.0,3,0,0,1,4,1,37.9,10,1,0.1,0,1,210,298,0.7,2,10,0.2,70,26,0.4,3,10,15,0.7,12,25,25
732166,2845,Burkina Faso,away,2,True,True,Group E,6,0.0,12,2,0,1,6,1,62.1,10,3,0.3,0,0,414,494,0.8,2,11,0.2,63,32,0.5,1,6,10,0.6,5,15,15
732167,4231,Gabon,home,2,False,False,Group F,0,3.0,15,2,0,0,2,2,33.4,9,3,0.3,0,0,220,292,0.8,1,10,0.1,56,18,0.3,1,9,15,0.6,8,25,25
732167,4789,Ivory Coast,away,3,True,True,Group F,7,2.0,19,1,0,3,8,1,66.6,21,5,0.2,0,0,523,570,0.9,10,31,0.3,29,17,0.6,6,7,14,0.5,7,9,9
732168,8939,Mozambique,home,1,False,False,Group F,3,2.0,7,0,0,1,2,4,52.0,10,2,0.2,0,0,302,379,0.8,2,6,0.3,61,27,0.4,3,15,23,0.7,9,23,23
732168,656,Cameroon,away,2,True,True,Group F,7,1.0,20,3,0,2,8,1,48.0,19,6,0.3,0,0,268,337,0.8,7,19,0.4,53,22,0.4,6,16,23,0.7,9,20,20
732170,654,Senegal,home,3,True,True,,0,1.0,22,2,0,3,7,2,67.5,14,9,0.6,0,0,412,487,0.8,8,25,0.3,54,34,0.6,1,9,13,0.7,8,23,23
732170,4319,Sudan,away,1,False,False,,0,3.0,17,2,0,1,4,6,32.5,9,3,0.3,0,0,165,235,0.7,0,10,0.0,52,14,0.3,2,11,16,0.7,13,19,19
732169,2849,Mali,home,1,True,True,,0,1.0,12,4,1,1,4,3,27.7,8,1,0.1,1,1,140,239,0.6,2,17,0.1,70,19,0.3,2,18,24,0.8,17,36,36
732169,659,Tunisia,away,1,False,False,,0,1.0,29,6,0,4,11,0,72.3,13,4,0.3,0,0,548,628,0.9,4,36,0.1,41,23,0.6,2,7,13,0.5,4,20,20
