event_id,team_id,team_name,home_away,fouls_committed,yellow_cards,red_cards,offsides,won_corners,saves,possession_pct,total_shots,shots_on_target,shot_pct,penalty_kick_goals,penalty_kick_shots,accurate_passes,total_passes,pass_pct,accurate_crosses,total_crosses,cross_pct,total_long_balls,accurate_long_balls,longball_pct,blocked_shots,effective_tackles,total_tackles,tackle_pct,interceptions,effective_clearance,total_clearance
732133,2869,Morocco,home,19,3,0,2,5,2,69.8,16,7,0.4,0,1,582,648,0.9,5,29,0.2,35,17,0.5,5,8,12,0.7,6,7,7
732133,8601,Comoros,away,20,1,0,4,0,5,30.2,4,2,0.5,0,0,217,285,0.8,0,4,0.0,34,9,0.3,0,9,16,0.6,12,34,34
