MatchID,Date,Team,Opponent,Status,Score,Venue
732133,2025-12-21T19:00Z,Morocco,Comoros,Full Time,2-0,
732147,2025-12-26T20:00Z,Morocco,Mali,Full Time,1-1,
732160,2025-12-29T19:00Z,Morocco,Zambia,Full Time,3-0,
732171,2026-01-04T16:00Z,Morocco,Tanzania,Scheduled,0-0,
